Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade_normalizada,Cidade
A T T CENTRO OESTE LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
A YOSHII ENGENHARIA E CONSTRUCOES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
A. C. CAPELLO - ME,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ADAMA BRASIL S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AGROPECUÁRIA SANTA FRANCISCA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AGROPECUARIA SANTA MARIA DO CERNE LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ALLOS LABORATÓRIO DE ANTIGENOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ALLVET QUIMICA INDUSTRIA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AMCOR FLEXIBLES DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
AMCOR FLEXIBLES DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ANGELUS INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ARAMES TOP INDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ARCELORMITTAL BRASIL S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ATT ARMAZENAGEM TRANSP TRANSBORDO L TDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
B. PAVANI PLASTICOS - EIRELI EPP,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BARILONPLAST IND E COM DE EMBALAGENS PLASTICAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BATERMOL DISTRIBUIDORA PARANAENSE DE ACUMULADORES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BELAGRAOS INVESTIMENTOS E SERVICOS SS LT,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BERMOND INDUSTRIA DE VASSOURAS EIRELI,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BIOSERV PRODUTOS QUIMICOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BONO & CONSTANTINO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BRASIL TRANSPORTES INTERMODAL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
BRF S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
"BUSSADORI, GARCIA & CIA LTDA",ND,ND,ND,ND,Sub-região 17,londrina,Londrina
C A P - GESTAO DE RESIDUOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
CIMENTO RIO BRANCO S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
CIMPLAST EMBALAGENS IMPORTAÇÃO E EXPORTAÇÃO COMÉRCIO S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
CMX CONSULTORIA E GESTAO DE PROJETOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COMAVES IND COM ALIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COMERCIAL RIBALTA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COMFRIO SOLUCOES LOGISTICAS S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COMPAGER LOG TRANSP ARMAZENS GERAIS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COMPANHIA CACIQUE CAFE SOLUVEL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COMPANHIA CACIQUE DE CAFE SOLUVEL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COMPANHIA ULTRAGAZ S A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
CONCESSIONARIA DO BLOCO SUL S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
CONFEPAR AGRO-INDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
CONSTRUTORA FREDERICO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COOP CAT MAT REC E RESID SOL DA REG METROP DE LONDRINA - COOPER REGIÃO,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COOPERATIVA AGROINDUSTRIAL DE LONDRINA - CATIVA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
"COOPERATIVA AGROINDUSTRIAL, DE PRODUCAO E COMERCIALIZACAO CONQUIST",ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COROL COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COROL COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COROL COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
COUROADA COMERCIAL REPRES. LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
DECHRA BRASIL PRODUTOS VETERINARIOS LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
DIPLOMATA S.A INDUSTRIAL E COMERCIAL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
EAGLE OTTAWA BRAZIL,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ELEVADORES ATLAS SCHINDLER LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
EMPRESA BRASILEIRA DE INFRA- ESTRUTURA AEROPORTUARIA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
EMPRESA CONCESSIONARIA RODOVIAS NOR TE SA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
EMPRESA DE TRANSPORTES ATLAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ENAR EMPREEND NACAO ARMAZENS GERAIS LTD,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ESTAMPAR INDUSTRIA E COMÉRCIO DE MATRIZES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
EXPRESSO PRINCESA DOS CAMPOS SA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
F&K GROUP TECNOLOGIA EM SISTEMAS AUTOMOTIVOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
FAST GONDOLAS EQUIPAMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
FEDEX BRASIL LOGISTICA E TRANSPORTE LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
FIAÇÃO DE SEDA BRATAC S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
FITASA EMBALAGENS PLÁSTICAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
FRIESP FOODS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
FRIGORIFICO RAINHA DA PAZ LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
FUNDAÇÃO DE APOIO À PESQUISA E AO DESENVOLVIMENTO DO AGRONEGÓCIO,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
G N B INDÚSTRIA DE BATERIAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GEO ENERGETICA PARTICIPACOES S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GERDAU ACOMINAS S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GERDAU ACOS LONGOS S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GERDAU COMERCIAL DE ACOS S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GERDAU S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GLOBAL TELECOM S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GRAFFTEX INDUSTRIA E COMERCIO DE TINTAS E REVESTIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
GREIF EMBALAGENS INDUSTRIAIS DO BRASIL LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
"GTECH INDUSTRIA, COMERCIO E INSTALACAO DE EQUIPAMENTOS PARA CONTROLE DE AR LTDA",ND,ND,ND,ND,Sub-região 17,londrina,Londrina
HACHIMITSU ATELIER DE DELICIAS LTDA EPP,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
HAYONIK INDUSTRIA E COMERCIO DE PRODUTOS ELETRONICOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
HYDRONLUBZ INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INBEB - INDUSTRIAL NORTE PARANAENSE DE BEBIDAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
IND COM DIST DE CARNES N SRA DA PAZ LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INDUSBELLO IND DE INSTRUMENTOS ODONTOLÓGICOS LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INDUSFRIO INDÚSTRIA DE REFRIGERAÇÃO LTDA - EPP,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INSTITUTO DE ENSINO SOMAY S/S LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INSTITUTO GENESIS,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
IPÊ FÁBRICA DE SUBPRODUTOS DE ORIGEM ANIMAL LTDA - EPP,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
IPIRANGA PRODUTOS DE PETROLEO S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ITAMARATY IND COM SA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ITAP BEMIS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
J MACEDO S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
J SAVARIEGO E GIMENES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
J. R. METAIS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
JAMEF TRANSPORTES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
JUCIANO PIRES MASSACANI SERVIÇOS E TREINAMENTOS,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
JUVEMAR DE ALMEIDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
KALUNGA COMÉRCIO E INDÚSTRIA GRAFICA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
KAPERSUL INDUSTRIA E COMERCIO DE PAPEIS S/A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
KIYODAI - TRANSPORTES E ENCOMENDAS EIRELI,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
KOZUE IMAI,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
KURICA AMBIENTAL S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
"LACTALIS DO BRASIL - COMERCIO, IMPORTACAO E EXPORT DE LATICINIOS L",ND,ND,ND,ND,Sub-região 17,londrina,Londrina
LEÃO ENGENHARIA S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
LONDRINA BEBIDAS LTDA 01/10/14 - MUDOU CNPJ PARA AMBEV,ND,ND,ND,ND,Desconhecida,pirai do sul,Piraí do Sul
LOUIS DREYFUS COMPANY BRASIL S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MAGAZINE LUIZA S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MAKIL INSTRUMENTOS DE MEDICAO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MANOEL CAMPINHA GARCIA CID,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MARED INDUSTRIA E COMERCIO DE SILOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MAST PET INDUSTRIA E COMERCIO DE PRODUTOS PARA ANIMAIS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MAXIMILIANO GAIDZINSKI S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MGA SERVIÇOS AUXILIARES DO TRANSPORTES AEREO LTDA-ME,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MILENIA AGRO CIENCIAS S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MOSAIC FERTILIZANTES P&K LTDA.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MSE ENGENHARIA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MULTIFIX BRASIL IND COM PARAFUSOS L TDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MULTQUIMICA PRODUTOS QUIMICOS LTDA - EPP,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
MUTIRAO COM DERIVADOS PETROLEO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
NEWTON VIEIRA BARBOSA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
NICOPEL EMBALAGENS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
NKF-CONFECCOES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
NOEN BIOTECNOLOGIA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
NORTIS FARMACÊUTICA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ODEBRECHT COMERCIO E INDUSTRIA DE CAFE LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
PASTIFICIO SELMI S.A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
PEDREIRA EXPRESSA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
PEVESUL INDUSTRIA DE TUBOS E CONEXOES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
PLASTPÉROLA INDÚSTRIA E COMÉRCIO DE PLÁSTICOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
PRIMICIAS PRODUTOS DE LIMPEZA ME,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
PROLIND COMPONENTES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
RABBIT IND COM PROD HIGIENE PESSOAL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
RIZOBACTER DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
RODINATO - INDÚSTRIA E COMÉRCIO DE FERRAGENS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ROGELLE'S JÓIAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ROMALIGA INDUSTRIA E COMERCIO DE LIGAS METALICAS LTDA - ME,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SBS ENGENHARIA E CONSTRUÇÕES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SEARA INDUSTRIA E COMERCIO DE PRODUTOS AGRO-PECUARIOSLTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SIEGWERK BRASIL INDÚSTRIA DE TINTAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SIEGWERK BRASIL INDÚSTRIA DE TINTAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SONHART CONFECCOES LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SONOCO DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SPIRONELLI E CIA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SULPLAST TINTAS E REVESTIMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SUPERGASBRAS ENERGIA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
SYNBIOSIS LABORATÓRIOS DE MEDICAMENTOS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TABACARIA GUANABARA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TAM LINHAS AEREAS S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TAM LINHAS AEREAS S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
THERMO KING DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TOM LUZ ILUMINAÇÃO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TOP TUBOS LTDA - ME,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TOYO SEN-I DO BRASIL - AGRO-INDUSTRIAL LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TRANSPORTADORA FALCAO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
TRANSPORTADORA ROTA 90 LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
VERGOTI INDUSTRIA COMERCIO METAIS L TDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
VIAÇÃO GARCIA LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
VOTORANTIM CIMENTOS BRASIL S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
VOTORANTIM CIMENTOS S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
VOTORANTIM CIMENTOS S.A.,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
WHITE MARTINS GASES INDUSTRIAIS LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
WITTUR LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
YTICON CONSTRUCAO E INCORPORACAO LTDA,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
ZUBINTEG LOGÍSTICA S/A,ND,ND,ND,ND,Sub-região 17,londrina,Londrina
A & R - NUTRIÇÃO ANIMAL LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ABATEDOURO COROAVES LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ABATEDOURO COROAVES LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ABM - INDUSTRIA E COMERCIO DE CAFE LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FAZENDA NOSSA SENHORA APARECIDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ADITA-ASSOC DISTR INS TECN AGROPECUARIA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
AGROINDUSTRIAL IRMAOS DALLA COSTA LTDA.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
AGROMEN SEMENTES AGRÍCOLAS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
AIR LIQUIDE BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ALISUL ALIMENTOS S A,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
APTAR DO BRASIL EMBALAGENS LTDA.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ARCELORMITTAL SUL FLUMINENSE S.A.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ARMAZEM DONA LUIZA LTDA - ME,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ASSOCIAÇÃO CULTURAL SANTO INÁCIO,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
AZUL LINHAS AEREAS BRASILEIRAS S.A.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
B. TRANSPORTES LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
BF COMERCIO DE CEREAIS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
BHZ LOGISTICA INTEGRADA LTDA.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
BJ PARANA REPRESENTAÇÕES E SOLUÇÕES COMERCIAIS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
BLOCOPAV INDUSTRIA E COMERCIO DE ARTEFADOS DE CIMENTO LTDA - ME,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
BRASIL TRANSPORTES INTERMODAL LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
BRASPRESS TRANSPORTES URGENTES LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
BUNGE ALIMENTOS S/A,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
C K O BENVENUTTI - ALIMENTOS NATURAIS - ME,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
C.VALE - COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CARGILL AGRICOLA S A,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CARMEL INDUSTRIA E COMERCIO DE SOBREMESAS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CARVAO ARCO IRIS DISTRIBUICAO BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CEREALISTA FEIJAO DE OURO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CHEF FOODS INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CIB MINERACAO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CIMFLEX-INDÚSTRIA E COMÉRCIO DE PLÁSTICO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR - COOPERATIVA AGROINDUS TRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCAMAR COOPERATIVA AGROINDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COCARI - COOPERATIVA AGROPECUÁRIA E INDUSTRIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COFCO INTERNATIONAL BRASIL S.A.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
COMPANHIA DE CIMENTO ITAMBÉ,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CONSTRUTORA MARLUC LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
CONSTRUTORA SANCHES TRIPOLONI LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
DEFENDI INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
DESCARBOX INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
DOMIMAR INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
DONATO - INDUSTRIA E COMERCIO DE MASSAS E SALGADOS LTDA - ME,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
DYNAMICS METALURGICA LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
E ENERGY INDUSTRIA DE PRODUTOS MAGNETICOS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
E M G - MAQUINAS E EQUIPAMENTOS INDUSTRIAIS E COMERCIAIS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ENGEBLOCK PLANEJAMENTO E CONSTRUCOES LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ENGENHARIA E CONSTRUCOES CSO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ENGEPACK EMBALAGENS SA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ETIK-METAIS INDUSTRIA E COMERCIO DE ACESSORIOS DO VESTUARIO LTDA - E,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
EXTRACON MINERACAO E OBRAS LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
F C SEDORKO & CIA LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
F R DE CASTRO AGROPECUARIA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
F. BRESSAN - SERVIÇOS E MATERIAIS ELETRICOS,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FA MARINGA LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FA MARINGA LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FERPAR INDÚSTRIA E COMERCIO DE AÇO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FERRARI ZAGATTO COMERCIO DE INSUMOS S.A.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FERRO VELHO DO POLACO LTDA - EPP,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FIRCON CONSTRUÇÃO CIVIL LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FITOACTIVE SUPLEMENTOS ALIMEN TARES LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FLEXSPUMA COLCHOES E ESPUMA LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
FREFER S.A. INDÚSTRIA E COMÉRCIO DE FERRO E AÇO,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
GELITA DO BRASIL LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
GERDAU ACOMINAS S/A,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
GERDAU ACOS LONGOS S.A.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
GONÇALVES E TORTOLA S/A,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
"GONZALES, SENDESKI & CIA LTDA.",ND,ND,ND,ND,Sub-região 15,maringa,Maringá
GOPAR INDÚSTRIA DE DETERGENTES E DESINFETANTES LTDA.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
GP - GRUPO PARANA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
GXS FERRO E AÇO LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
HIDRO METALÚRGICA ZM LTDA.,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
INDUSTRIA DE MASSAS SAO GABRIEL LTDA EM RECUPERACAO JUDICIAL,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
INDUSTRIA E COMERCIO DE PLACAS BULMARPLAC LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
INDUSTRIA E COMERCIO DE SORVETES SAROM LTDA - ME,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
INDUSTRIA TEXTIL APUCARANA LTDA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
INTEGRADA COOPERATIVA AGROINDUSTRIA,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
ISOPLAS IND COMERCIO CALIBRADORES P NEUS,ND,ND,ND,ND,Sub-região 15,maringa,Maringá
