Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade_normalizada,Cidade
R.A.RIBAS & RIBAS LTDA ME,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
R.G.T. AUTOMAÇÃO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
R.T.K. COMERCIO DE ALIMENTOS LTDA,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
RAAB & SILVA COMERCIAL LTDA,ND,ND,ND,ND,Desconhecida,cerro azul,Cerro Azul
RABELO & SILVA INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Desconhecida,fazenda rio grande,Fazenda Rio Grande
RACING AUTOMOTIVE LTDA,ND,ND,ND,ND,Desconhecida,campo magro,Campo Magro
RACKS REFRIGERACAO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAFAEL CAIQUE SILVA SOUZA,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RAFAEL F GRECA E FILHOS LTDA,ND,ND,ND,ND,Desconhecida,colombo,Colombo
RAFAEL FERREIRA DA CRUZ,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
RAFAEL RIBEIRO DE DEUS,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,almirante tamandare,Almirante Tamandaré
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,araucaria,Araucária
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,araucaria,Araucária
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,campina grande do sul,Campina Grande do Sul
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,campo largo,Campo Largo
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,campo largo,Campo Largo
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,colombo,Colombo
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,fazenda rio grande,Fazenda Rio Grande
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,piraquara,Piraquara
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RAIA DROGASIL S/A,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RAINHA VITÓRIA COMÉRCIO DE ALIMENTO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAITZ CURITIBA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RAIZEN COMBUSTÍVEIS S.A,ND,ND,ND,ND,Desconhecida,araucaria,Araucária
RAIZEN COMBUSTIVEIS S.A.,ND,ND,ND,ND,Desconhecida,araucaria,Araucária
RAMO NOVO COMERCIO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RANCHO DA PIZZA INDUSTRIA E COMERCIO EIRELI - ME,ND,ND,ND,ND,Desconhecida,balsa nova,Balsa Nova
RANDALL IND COMERCIO TINTAS LTDA,ND,ND,ND,ND,Desconhecida,colombo,Colombo
RAPHAEL BOSCHETTI OHATA,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RCB INDÚSTRIA DE TINTAS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RCI AGROPECUARIA LTDA,ND,ND,ND,ND,Desconhecida,bocaiuva do sul,Bocaiúva do Sul
RCUMIN ALIMENTOS LTDA - EPP,ND,ND,ND,ND,Desconhecida,campo magro,Campo Magro
REAGEN PRODUTOS PARA LABORATORIOS LTDA- ME,ND,ND,ND,ND,Desconhecida,colombo,Colombo
REAL METAIS DO BRASIL LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REALFIX IND E COM DE TINTAS E VERNIZES,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
REALGEMS DO BRASIL INDÚSTRIA DE COSMÉTICOS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REBERANSKI CIA LTDA,ND,ND,ND,ND,Desconhecida,colombo,Colombo
RECICLADORA DE SERRAGEM SANTO ANTONIO EIRELI,ND,ND,ND,ND,Desconhecida,mandirituba,Mandirituba
RECICLAGEM DE PAPEL BR LTDA - EPP,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RECICLAGEM FORTALEZA EIRELI,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RECICLY COMERCIO DE FERRO E ACO LTDA,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
RECOP SUL SERVICOS LTDA,ND,ND,ND,ND,Desconhecida,araucaria,Araucária
RECUPERADORA DE CABEÇOTES JOTA GARCIA LTDA.,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
